voce del verbo,forma,modo,tempo,persona,coniugazione,forma verbale,traduzione
sum,attiva,indicativo,imperfetto,1a sing.,propria,eram,egli era
sum,attiva,indicativo,imperfetto,2a sing.,propria,eras,noi eravamo
sum,attiva,indicativo,imperfetto,3a sing.,propria,erat,voi eravate
sum,attiva,indicativo,imperfetto,1a plu.,propria,eramus,essi erano
sum,attiva,indicativo,imperfetto,2a plu.,propria,eratis,voi eravate
sum,attiva,indicativo,imperfetto,3a plu.,propria,erant,essi erano
laudo,attiva,indicativo,imperfetto,1a sing.,prima,laudabam,io lodavo
laudo,attiva,indicativo,imperfetto,2a sing.,prima,laudabas,tu lodavi
laudo,attiva,indicativo,imperfetto,3a sing.,prima,laudabat,egli lodava
laudo,attiva,indicativo,imperfetto,1a plu.,prima,laudabamus,noi lodavamo
laudo,attiva,indicativo,imperfetto,2a plu.,prima,laudabatis,voi lodavate
laudo,attiva,indicativo,imperfetto,3a plu.,prima,laudabant,essi lodavano
moneo,attiva,indicativo,imperfetto,1a sing.,seconda,monebam,io ammonivo
moneo,attiva,indicativo,imperfetto,2a sing.,seconda,monebas,tu ammonivi
moneo,attiva,indicativo,imperfetto,3a sing.,seconda,monebat,egli ammoniva
moneo,attiva,indicativo,imperfetto,1a plu.,seconda,monebamus,noi ammonivamo
moneo,attiva,indicativo,imperfetto,2a plu.,seconda,monebatis,voi ammonivate
moneo,attiva,indicativo,imperfetto,3a plu.,seconda,monebant,essi ammonivano
lego,attiva,indicativo,imperfetto,1a sing.,terza,legebam,io leggevo
lego,attiva,indicativo,imperfetto,2a sing.,terza,legebas,tu leggevi
lego,attiva,indicativo,imperfetto,3a sing.,terza,legebat,egli leggeva
lego,attiva,indicativo,imperfetto,1a plu.,terza,legebamus,noi leggevamo
lego,attiva,indicativo,imperfetto,2a plu.,terza,legebatis,voi leggevate
lego,attiva,indicativo,imperfetto,3a plu.,terza,legebant,essi leggevano
audio,attiva,indicativo,imperfetto,1a sing.,quarta,audiebam,io ascoltavo
audio,attiva,indicativo,imperfetto,2a sing.,quarta,audiebas,tu ascoltavi
audio,attiva,indicativo,imperfetto,3a sing.,quarta,audiebat,egli ascoltava
audio,attiva,indicativo,imperfetto,1a plu.,quarta,audiebamus,noi ascoltavamo
audio,attiva,indicativo,imperfetto,2a plu.,quarta,audiebatis,voi ascoltavate
audio,attiva,indicativo,imperfetto,3a plu.,quarta,audiebant,essi ascoltavano
capio,attiva,indicativo,imperfetto,1a sing.,mista,capiebam,io prendevo
capio,attiva,indicativo,imperfetto,2a sing.,mista,capiebas,tu prendevi
capio,attiva,indicativo,imperfetto,3a sing.,mista,capiebat,egli prendeva
capio,attiva,indicativo,imperfetto,1a plu.,mista,capiebamus,noi prendevamo
capio,attiva,indicativo,imperfetto,2a plu.,mista,capiebatis,voi prendevate
capio,attiva,indicativo,imperfetto,3a plu.,mista,capiebant,essi prendevano
laudo,passiva,indicativo,imperfetto,1a sing.,prima,laudabar,io ero lodato
laudo,passiva,indicativo,imperfetto,2a sing.,prima,laudabaris,tu eri lodato
laudo,passiva,indicativo,imperfetto,3a sing.,prima,laudabatur,egli era lodato
laudo,passiva,indicativo,imperfetto,1a plu.,prima,laudabamur,noi eravamo lodati
laudo,passiva,indicativo,imperfetto,2a plu.,prima,laudabamini,voi eravate lodati
laudo,passiva,indicativo,imperfetto,3a plu.,prima,laudabantur,essi erano lodati
moneo,passiva,indicativo,imperfetto,1a sing.,seconda,monebar,io ero ammonito
moneo,passiva,indicativo,imperfetto,2a sing.,seconda,monebaris,tu eri ammonito
moneo,passiva,indicativo,imperfetto,3a sing.,seconda,monebatur,egli era ammonito
moneo,passiva,indicativo,imperfetto,1a plu.,seconda,monebamur,noi eravamo ammoniti
moneo,passiva,indicativo,imperfetto,2a plu.,seconda,monebamini,voi eravate ammoniti
moneo,passiva,indicativo,imperfetto,3a plu.,seconda,monebantur,essi erano ammoniti
lego,passiva,indicativo,imperfetto,1a sing.,terza,legebar,io ero letto
lego,passiva,indicativo,imperfetto,2a sing.,terza,legebaris,tu eri letto
lego,passiva,indicativo,imperfetto,3a sing.,terza,legebatur,egli era letto
lego,passiva,indicativo,imperfetto,1a plu.,terza,legebamur,noi eravamo letti
lego,passiva,indicativo,imperfetto,2a plu.,terza,legebamini,voi eravate letti
lego,passiva,indicativo,imperfetto,3a plu.,terza,legebantur,essi erano letti
audio,passiva,indicativo,imperfetto,1a sing.,quarta,audiebar,io ero ascoltato
audio,passiva,indicativo,imperfetto,2a sing.,quarta,audiebaris,tu eri ascoltato
audio,passiva,indicativo,imperfetto,3a sing.,quarta,audiebatur,egli era ascoltato
audio,passiva,indicativo,imperfetto,1a plu.,quarta,audiebamur,noi eravamo ascoltati
audio,passiva,indicativo,imperfetto,2a plu.,quarta,audiebamini,voi eravate ascoltati
audio,passiva,indicativo,imperfetto,3a plu.,quarta,audiebantur,essi erano ascoltati
capio,passiva,indicativo,imperfetto,1a sing.,mista,capiebar,io ero preso
capio,passiva,indicativo,imperfetto,2a sing.,mista,capiebaris,tu eri preso
capio,passiva,indicativo,imperfetto,3a sing.,mista,capiebatur,egli era preso
capio,passiva,indicativo,imperfetto,1a plu.,mista,capiebamur,noi eravamo presi
capio,passiva,indicativo,imperfetto,2a plu.,mista,capiebamini,voi eravate presi
capio,passiva,indicativo,imperfetto,3a plu.,mista,capiebantur,essi erano presi
laudo,attiva,indicativo,futuro,1a sing.,prima,laudabo,io loderò
laudo,attiva,indicativo,futuro,2a sing.,prima,laudabis,tu loderai
laudo,attiva,indicativo,futuro,3a sing.,prima,laudabit,egli loderà
laudo,attiva,indicativo,futuro,1a plu.,prima,laudabimus,noi loderemo
laudo,attiva,indicativo,futuro,2a plu.,prima,laudabitis,voi loderete
laudo,attiva,indicativo,futuro,3a plu.,prima,laudabunt,essi loderanno
moneo,attiva,indicativo,futuro,1a sing.,seconda,monebo,io ammonirò
moneo,attiva,indicativo,futuro,2a sing.,seconda,monebis,tu ammonirai
moneo,attiva,indicativo,futuro,3a sing.,seconda,monebit,egli ammonirà
moneo,attiva,indicativo,futuro,1a plu.,seconda,monebimus,noi ammoniremo
moneo,attiva,indicativo,futuro,2a plu.,seconda,monebitis,voi ammonirete
moneo,attiva,indicativo,futuro,3a plu.,seconda,monebunt,essi ammoniranno
lego,attiva,indicativo,futuro,1a sing.,terza,legam,io leggerò
lego,attiva,indicativo,futuro,2a sing.,terza,leges,tu leggerai
lego,attiva,indicativo,futuro,3a sing.,terza,leget,egli leggerà
lego,attiva,indicativo,futuro,1a plu.,terza,legemus,noi leggeremo
lego,attiva,indicativo,futuro,2a plu.,terza,legetis,voi leggerete
