coniugazione,verbo,traduzione
I coniugazione,curo  -as  -āre,occuparsi di  curare
I coniugazione,desidĕro  -as  -āre,sentire la mancanza  desiderare
I coniugazione,fugo  -as  -āre,mettere in fuga
I coniugazione,intro  -as  -āre,entrare
I coniugazione,sto  -as  -āre,stare
I coniugazione,vasto  -as  -āre,devastare
II coniugazione,fleo  -es  -ēre,piangere
II coniugazione,iubeo  -es  -ēre,ordinare
II coniugazione,rideo  -es  -ēre,ridere  deridere
II coniugazione,taceo  -es  -ēre,tacere
II coniugazione,timeo  -es  -ēre,temere
III coniugazione,cogo  -is  -ĕre,costringere  radunare  raccogliere
III coniugazione,contemno  -is  -ĕre,disprezzare
III coniugazione,gero  -is  -ĕre,portare  gestire
III coniugazione,reverto  -is  -ĕre,ritornare
III coniugazione,viso  -is  -ĕre,visitare
IV coniugazione,dormio  -is  -īre,dormire
IV coniugazione,invenio  -is  -īre,trovare  scoprire
IV coniugazione,reperio  -is  -īre,trovare
coniugazione mista,accipio  -is  -ĕre,ricevere  accogliere
coniugazione mista,confugio  -is  -ĕre,rifugiarsi
coniugazione mista,percutio  -is  -ĕre,colpire
coniugazione mista,perspicio  -is  -ĕre,vedere attraverso  scorgere
PREPOSIZIONI,erga + accusativo,verso  nei confronti di
PREPOSIZIONI,trans + accusativo,oltre  al di là di
PREPOSIZIONI,usque ad + accusativo fino a,
AVVERBI DI TEMPO,aliquando,un giorno
AVVERBI DI TEMPO,diu,a lungo
AVVERBI DI TEMPO,heri,ieri
AVVERBI DI TEMPO,hodie,oggi
AVVERBI DI TEMPO,olim,una volta
AVVERBI DI TEMPO,tunc,allora
I coniugazione,cogĭto  -as  -āre,pensare
I coniugazione,debello  -as  -āre,debellare  sconfiggere
I coniugazione,impĕro  -as  -āre,comandare
I coniugazione,rogo  -as  -āre,chiedere
I coniugazione,servo  -as  -āre,salvare
II coniugazione,augeo  -es  -ēre,accrescere
II coniugazione,contĭneo  -es  -ēre,tenere assieme  trattenere
III coniugazione,animadverto  -is  -ĕre,accorgersi
III coniugazione,contendo  -is  -ĕre,lottare  affrettarsi  dirigersi (velocemente)
